HOM_PST_NO,si,gu
62,서울특별시,강남구
61,서울특별시,강남구
60,서울특별시,강남구
63,서울특별시,강남구
54,서울특별시,강동구
53,서울특별시,강동구
52,서울특별시,강동구
10,서울특별시,강북구
11,서울특별시,강북구
12,서울특별시,강북구
77,서울특별시,강서구
76,서울특별시,강서구
75,서울특별시,강서구
78,서울특별시,강서구
88,서울특별시,관악구
87,서울특별시,관악구
51,서울특별시,광진구
49,서울특별시,광진구
50,서울특별시,광진구
83,서울특별시,구로구
82,서울특별시,구로구
85,서울특별시,금천구
86,서울특별시,금천구
18,서울특별시,노원구
17,서울특별시,노원구
19,서울특별시,노원구
16,서울특별시,노원구
13,서울특별시,도봉구
14,서울특별시,도봉구
25,서울특별시,동대문구
24,서울특별시,동대문구
26,서울특별시,동대문구
69,서울특별시,동작구
70,서울특별시,동작구
39,서울특별시,마포구
41,서울특별시,마포구
40,서울특별시,마포구
42,서울특별시,마포구
37,서울특별시,서대문구
36,서울특별시,서대문구
67,서울특별시,서초구
66,서울특별시,서초구
65,서울특별시,서초구
68,서울특별시,서초구
48,서울특별시,성동구
47,서울특별시,성동구
28,서울특별시,성북구
27,서울특별시,성북구
56,서울특별시,송파구
57,서울특별시,송파구
55,서울특별시,송파구
58,서울특별시,송파구
79,서울특별시,양천구
80,서울특별시,양천구
81,서울특별시,양천구
73,서울특별시,영등포구
74,서울특별시,영등포구
72,서울특별시,영등포구
43,서울특별시,용산구
44,서울특별시,용산구
34,서울특별시,은평구
33,서울특별시,은평구
35,서울특별시,은평구
31,서울특별시,종로구
30,서울특별시,종로구
45,서울특별시,중구
46,서울특별시,중구
21,서울특별시,중랑구
22,서울특별시,중랑구
20,서울특별시,중랑구
90,서울특별시,서울9
100,경기도,경기1
110,경기도,경기2
120,경기도,경기3
130,경기도,경기4
140,경기도,경기5
150,경기도,경기6
160,경기도,경기7
170,경기도,경기8
180,경기도,경기9
200,경기도,경기10
210,인천,인천1
220,인천,인천2
230,인천,인천3
240,강원도,강원1
250,강원도,강원2
260,강원도,강원3
270,충북,충북1
280,충북,충북2
290,충북,충북3
300,세종,세종1
310,충남,충남1
320,충남,충남2
330,충남,충남3
340,대전,대전1
350,대전,대전2
360,경북,경북1
370,경북,경북2
380,경북,경북3
390,경북,경북4
400,경북,경북5
410,대구,대구1
420,대구,대구2
430,대구,대구3
440,울산,울산1
450,울산,울산2
460,부산,부산1
470,부산,부산2
480,부산,부산3
490,부산,부산4
500,경남,경남1
510,경남,경남2
520,경남,경남3
530,경남,경남4
540,전북,전북1
550,전북,전북2
560,전북,전북3
570,전남,전남1
580,전남,전남2
590,전남,전남3
600,전남,전남4
610,광주,광주1
620,광주,광주2
630,제주,제주1
