BIZ_UNIT,PD_S_C,PD_S_NM,,PD_M_NM,,PD_H_NM,,cnt.x,cnt.y,percent
A04,381,면도기,,면도용품,,H&B,생필품,8,5720,0.001398601
A04,382,면도날,,면도용품,,H&B,생필품,5,5720,0.000874126
A04,384,쉐이빙폼,,면도용품,,H&B,생필품,9,5720,0.001573427
A04,383,일회용면도기,,면도용품,,H&B,생필품,93,5720,0.016258741
A04,375,린스,,샴푸/린스,,H&B,생필품,8,5720,0.001398601
A04,374,샴푸,,샴푸/린스,,H&B,생필품,20,5720,0.003496503
A04,385,일반선물세트,,선물세트,,H&B,생필품,11,5720,0.001923077
A04,380,소용량상품,,여행용상품,,H&B,생필품,29,5720,0.00506993
A04,379,여행용상품,,여행용상품,,H&B,생필품,48,5720,0.008391608
A04,367,액상치약,,치약,,H&B,생필품,159,5720,0.027797203
A04,368,어린이용,,치약,,H&B,생필품,3,5720,0.000524476
A04,366,일반치약,,치약,,H&B,생필품,106,5720,0.018531469
A04,373,칫솔치약세트,,치약칫솔세트,,H&B,생필품,216,5720,0.037762238
A04,370,미세모,,칫솔,,H&B,생필품,109,5720,0.019055944
A04,371,어린이용칫솔,,칫솔,,H&B,생필품,5,5720,0.000874126
A04,369,일반모,,칫솔,,H&B,생필품,39,5720,0.006818182
A04,372,치실/치간칫솔,,칫솔,,H&B,생필품,50,5720,0.008741259
A04,376,고형비누,,화장비누/바디클렌저,,H&B,생필품,20,5720,0.003496503
A04,378,바디클렌저,,화장비누/바디클렌저,,H&B,생필품,12,5720,0.002097902
A04,377,액체비누,,화장비누/바디클렌저,,H&B,생필품,18,5720,0.003146853
A04,202,면,,가공면류,,가공식품,,12,5720,0.002097902
A04,189,죽,,가공미반류,,가공식품,,104,5720,0.018181818
A04,188,즉석덮밥,,가공미반류,,가공식품,,18,5720,0.003146853
A04,187,즉석밥,,가공미반류,,가공식품,,304,5720,0.053146853
A04,190,즉석컵밥,,가공미반류,,가공식품,,77,5720,0.013461538
A04,195,국,,국／스프,,가공식품,,55,5720,0.009615385
A04,196,스프,,국／스프,,가공식품,,34,5720,0.005944056
A04,203,기타,제거,기타,,가공식품,,12,5720,0.002097902
A04,194,기타,제거,레토르트,,가공식품,,38,5720,0.006643357
A04,191,덮밥 소스류,,레토르트,,가공식품,,58,5720,0.01013986
A04,192,레토르트 간식,,레토르트,,가공식품,,34,5720,0.005944056
A04,193,레토르트 면,,레토르트,,가공식품,,38,5720,0.006643357
A04,204,선물세트,제거,선물세트,,가공식품,,14,5720,0.002447552
