지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
152,2014-12-29,4.8,0.5,755,10.3,1517,,,,,,,7.7,320,1214,5.1,320,1219,1.8,1554,-3.8,35,1521,54.9,4.6,1010.4,1016.7,1,1012.6,1447,1014.7,9.8,8.4,,,,,,,,,0.6,0.3,1.8,-4.9,,,,,,,,,,,,,
152,2014-12-30,5,-0.8,501,12.7,1507,,,,,,,11.3,20,1322,6.9,340,1344,1.5,1339,-7.4,14,1249,47.8,3.6,1012.1,1018.4,2149,1014.5,47,1016.4,9.8,8.3,,,,,,,,,0,0,1.4,-8,,,,,,,,,,,,,
152,2014-12-31,2,-0.6,454,6.7,1151,1.08,,,,,0.1,14.6,320,1428,8.6,340,1316,2.8,2408,-7.5,30,2043,50.8,3.7,1010.3,1018.3,2350,1009.6,1157,1014.7,9.8,5.8,,,,,,,,,1.9,1.9,-0.2,-7.2,,,,,,,,,,,,,
152,2015-01-01,-2.7,-4.9,748,0.4,1506,,,,,,,15.4,320,1033,9.6,320,1038,5,4335,-18.2,17,1400,30.8,1.5,1016.1,1023.7,2223,1017.3,120,1020.5,9.8,8.8,,,,,,,,,0.5,0.5,-2.5,-7.6,,,,,,,,,,,,,
152,2015-01-02,-1,-4.5,48,2.9,1309,,,,,,,15.3,340,1233,8.3,290,1341,3.9,3401,-14.3,26,1110,36.9,2.1,1018.3,1025.3,2345,1019.9,1250,1022.7,9.8,8.9,,,,,,,,,0.9,0.9,-1.8,-7.7,,,,,,,,,,,,,
152,2015-01-03,1,-5.2,612,7.4,1540,,,,,,,7.3,340,307,4.2,340,310,1.5,1333,-17.5,9,1430,26.9,1.6,1017.6,1025.4,114,1018.9,2336,1021.9,9.8,8.9,,,,,,,,,3.3,0.5,-2,-12.1,,,,,,,,,,,,,
152,2015-01-04,4.4,-2,757,12.6,1455,,,,,,,4.1,90,1358,3.5,290,2110,1.1,946,-5.6,33,1121,49.4,4.1,1013.8,1019.7,2358,1015.3,1330,1018.1,9.8,8.5,,,,,,,,,1,1,1.1,-8,,,,,,,,,,,,,
152,2015-01-05,6.9,-1,510,12.7,1509,2.17,,,,,0.2,6.2,230,1642,3.9,200,1628,1.3,1121,0.8,42,1202,66.9,6.6,1013.1,1021.6,518,1009.3,2359,1017.4,9.8,4.7,,,,,,,,,6,1.9,3.8,-5.5,,,,,,,,,,,,,
152,2015-01-06,6.5,0.9,2357,9.6,135,4.5,,,,,10.9,13,320,941,7.5,320,948,3.5,2982,-6.6,17,1520,45.3,4.8,1006.3,1015.4,2208,1004.3,348,1010.5,9.9,8.7,,,,,,,,,4.3,2.4,4.7,-1.4,,,,,,,,,,,,,0.75
152,2015-01-07,-0.4,-3.8,756,3.5,1453,,,,,,,10.8,360,822,7.1,340,423,3.1,2671,-18.3,17,1038,25,1.4,1014.6,1022.5,2252,1014.7,1,1019,9.9,8.3,,,,,,,,,2.4,0,-0.4,-7.5,,,,,,,,,,,,,
