지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
131,2014-12-29,3.3,-0.1,724,8.3,1516,,,,,,,4.5,230,1542,2.5,250,1602,0.8,652,-1.6,55,1349,70.6,5.5,1008.5,1018.4,1,1013.6,1519,1015.7,9.7,5.2,1300,1.25,6.21,,,,,,5.3,5.3,0.9,-6.5,,,,,,,,,,,0.9,,
131,2014-12-30,3.3,-1,734,9.2,1336,,,,,,,7.9,320,1255,3.5,290,1248,1.1,993,-4.1,30,1305,62.5,4.7,1010.4,1019.4,1842,1015.1,50,1017.6,9.7,7.4,1200,1.52,8.22,,,,,,0,0,0.8,-7.8,,,,,,,,,,,1.2,0.3,
131,2014-12-31,-1,-4.9,2347,2.8,1435,10.58,,,,,2,10.3,290,1900,4.3,270,1924,2.1,1800,-6.7,36,1432,66.9,3.8,1010.9,1022.7,2337,1015.5,336,1018.1,9.7,4,1300,1.57,5.84,2,2050,2,2050,3.5,6.1,4.4,0.4,-7.9,,,,,,,,,,,1.8,1.8,
131,2015-01-01,-5.6,-7.6,743,-3.2,1432,2.67,,,,,0.1,9.4,340,1340,3.9,270,1454,2,1743,-14.3,35,232,51.1,2.1,1017.6,1026.7,2056,1022.5,117,1025,9.7,7.8,1200,1.66,9.64,0.1,25,2.1,25,0.1,3.4,3.4,-0.2,-12.6,,,,,,,,,,,1.2,0,
131,2015-01-02,-4.2,-6.7,637,-0.4,1415,0.42,,,,,0,8.1,290,1448,3.6,290,1355,1.3,1100,-12.7,31,1434,53.6,2.3,1018.6,1027.9,2132,1024,1329,1026,9.7,7.1,1300,1.58,8.49,0.3,730,0.3,730,0.3,3.1,2.3,-0.5,-10.8,,,,,,,,,,,1.1,0,
131,2015-01-03,-2.4,-9,719,3.1,1453,,,,,,,3.7,110,1234,2.1,140,1011,0.8,687,-9.2,46,1413,59.6,3.1,1017.1,1028.5,915,1020.1,2333,1024.4,9.7,5.8,1200,1.57,8.29,,,,,,3.7,3.1,-0.8,-14.1,,,,,,,,,,,0.8,,
131,2015-01-04,2.7,-2.4,403,10,1539,,,,,,,4.2,230,1324,1.9,230,1320,0.5,447,-2.6,51,1514,68.8,5.1,1011.6,1020.3,2141,1016.7,1332,1018.8,9.7,6.2,1200,1.55,7.48,,,,,,3.1,3.1,0.5,-7.2,,,,,,,,,,,0.6,,
131,2015-01-05,3.2,-2.2,431,9,1431,4.08,,,,,2,4.2,360,2338,1.9,340,2345,0.5,466,-0.3,52,1436,79.4,6,1009.9,1022.2,357,1010.5,2333,1017.1,9.8,5.1,1200,1.33,7.04,,,,,,6.5,3.3,0.8,-8,,,,,,,,,,,0.2,7,
131,2015-01-06,-0.3,-5.2,2349,4,19,5.33,,,,,5,9.2,290,1005,5,270,1358,2.1,1807,-8.1,37,1545,58.8,3.8,1009.4,1021.7,2250,1010.1,44,1016.7,9.8,7.8,1200,1.85,10.48,,,,,,3.6,2.5,1.3,-6.6,,,,,,,,,,,1.4,,
131,2015-01-07,-3.7,-6.4,724,0.2,1351,,,,,,,7.9,290,1057,3.9,320,1046,1.4,1212,-16,27,1235,38.5,1.8,1015.6,1025.1,2358,1021.2,1330,1023,9.8,7.8,1200,1.82,9.97,,,,,,1.8,0,-0.8,-10.9,,,,,,,,,,,1.4,,
